id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lola;Rogahn;Lily.Kihn75@yahoo.com;repurpose withdrawal;2022-04-29T02:40:15;71697;45464
2;Carey;O'Conner;Johnathon.Hammes@gmail.com;withdrawal;2022-04-29T06:37:07;75289;21024
3;Wilfrid;Spencer;Adan.Goodwin@gmail.com;Sleek;2022-04-28T15:40:31;71090;65309
4;Laurence;Gaylord;Alessia.Heathcote@hotmail.com;reinvent orchestrate;2022-04-28T11:10:08;52820;82484
5;Karson;Hammes;Eriberto14@hotmail.com;mobile Granite;2022-04-29T05:48:02;13439;33970
6;Aisha;Carroll;Fern.Ortiz73@gmail.com;Jersey time-frame;2022-04-28T14:34:14;64329;13556
7;Dedrick;Cremin;Karli72@yahoo.com;Devolved rich;2022-04-28T17:04:22;54588;45928
8;Clare;Willms;Bradley8@yahoo.com;payment Illinois;2022-04-29T07:07:46;3244;21747
9;Mariela;Spinka;Hope_Cruickshank98@hotmail.com;white;2022-04-28T22:28:25;90189;81327
10;Ada;Robel;Brent79@gmail.com;Table Alaska Checking;2022-04-28T11:08:35;32637;8639
